id,key,value,type
26029630,highway,traffic_signals,regular
26031433,ref,394,regular
26031433,exit_to,Lawrence Expressway,regular
26031433,highway,motorway_junction,regular
26117820,ref,3A,regular
26117820,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtyseveneast.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/twothirtysevenwest.pdf,regular
26117820,exit_to,US-101 North,regular
26117820,highway,motorway_junction,regular
26374407,highway,traffic_signals,regular
33463473,highway,traffic_signals,regular
33783786,ref,388A,regular
33783786,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/101.pdf,regular
33783786,exit_to,Oakland Road;13th Street,regular
33783786,highway,motorway_junction,regular
33784671,ref,395,regular
33784671,exit_to,Fair Oaks Avenue,regular
33784671,highway,motorway_junction,regular
35854726,highway,traffic_signals,regular
53131310,source,tiger_import_dch_v0.6_20070809,regular
60434612,highway,traffic_signals,regular
65377457,highway,turning_circle,regular
65377693,highway,turning_circle,regular
65380048,highway,traffic_signals,regular
65382694,power,tower,regular
65383427,ref,5,regular
65383427,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/sixeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/sixeightysouth.pdf,regular
65383427,exit_to,Capitol Avenue;Hostetter Road,regular
65383427,highway,motorway_junction,regular
65384610,power,tower,regular
65388365,power,tower,regular
65388396,power,tower,regular
65391616,exit_to,Fair Oaks Avenue North,regular
65391616,highway,motorway_junction,regular
65391616,ref,395A,regular
65392509,crossing,uncontrolled,regular
65392509,highway,crossing,regular
65394521,power,tower,regular
65394521,reviewed,no,tiger
65395450,source,Bing,regular
65395450,highway,turning_circle,regular
65396457,power,tower,regular
65396675,highway,traffic_signals,regular
65400187,ref,1B,regular
65400187,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/sixeightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/sixeightysouth.pdf,regular
65400187,highway,motorway_junction,regular
65400187,left,1A,ref
65400187,right,1B,ref
65400187,left,I-280,exit_to
65400187,right,US-101;Los Angeles;San Francisco,exit_to
65407467,highway,turning_circle,regular
65410697,highway,traffic_signals,regular
65410697,traffic_signals,ramp_meter,regular
65414929,highway,turning_circle,regular
65416374,highway,traffic_signals,regular
65416472,highway,turning_circle,regular
65416587,highway,turning_circle,regular
65418461,highway,turning_circle,regular
65419214,highway,traffic_signals,regular
65419742,highway,turning_circle,regular
65420094,highway,turning_circle,regular
65420279,highway,traffic_signals,regular
65420611,highway,turning_circle,regular
65420811,highway,turning_circle,regular
65421188,highway,traffic_signals,regular
65421188,crossing,traffic_signals,regular
65422045,highway,turning_circle,regular
65423570,highway,turning_circle,regular
65423949,highway,turning_circle,regular
65424257,highway,traffic_signals,regular
65424427,noexit,yes,regular
65425223,highway,traffic_signals,regular
65425635,highway,turning_circle,regular
65425699,highway,turning_circle,regular
65426211,noexit,yes,regular
65426280,highway,traffic_signals,regular
65426741,highway,traffic_signals,regular
65427137,highway,turning_circle,regular
65427238,highway,turning_circle,regular
65427345,highway,turning_circle,regular
65427603,highway,stop,regular
65428014,highway,turning_circle,regular
65428358,highway,turning_circle,regular
65428854,highway,turning_circle,regular
65429312,highway,turning_circle,regular
65429738,highway,turning_circle,regular
65429823,highway,turning_circle,regular
65430586,highway,turning_circle,regular
65430683,highway,turning_circle,regular
65430850,highway,traffic_signals,regular
65430886,highway,traffic_signals,regular
65430993,highway,traffic_signals,regular
65431148,highway,turning_circle,regular
65431488,highway,turning_circle,regular
65432259,highway,turning_circle,regular
65433983,highway,turning_circle,regular
65434021,highway,traffic_signals,regular
65434277,highway,turning_circle,regular
65435058,highway,stop,regular
65435492,highway,turning_circle,regular
65436210,highway,turning_circle,regular
65436633,noexit,yes,regular
65437666,highway,turning_circle,regular
65437862,source,Tiger2009,regular
65437862,STATEFP,06,regular
65437862,highway,turning_circle,regular
65437862,COUNTYFP,085,regular
65437862,Tiger:MTFCC,C3061,regular
65438241,highway,turning_circle,regular
65438638,highway,traffic_signals,regular
65438969,highway,turning_circle,regular
65439444,noexit,yes,regular
65440948,highway,traffic_signals,regular
65442072,highway,turning_circle,regular
65442122,highway,mini_roundabout,regular
65442467,highway,traffic_signals,regular
65442744,highway,turning_circle,regular
65443456,highway,turning_circle,regular
65443865,noexit,yes,regular
65444543,highway,turning_circle,regular
65444673,highway,turning_circle,regular
65445026,highway,turning_circle,regular
65445512,highway,turning_circle,regular
65445598,highway,traffic_signals,regular
65446464,highway,turning_circle,regular
65446808,source,yahoo,regular
65446808,highway,turning_circle,regular
65447368,highway,traffic_signals,regular
65448167,highway,turning_circle,regular
65448934,highway,turning_circle,regular
65449056,highway,turning_circle,regular
65449257,highway,turning_circle,regular
