id,user,uid,version,changeset,timestamp
4336096,PlaneMad,1306,21,33481690,2015-08-21T11:51:22Z
4733804,Bike Mapper,74705,3,7251834,2011-02-11T03:41:57Z
4964746,karitotp,2748195,64,39221616,2016-05-10T16:01:19Z
5005414,steverumizen,2655992,29,39432539,2016-05-19T19:27:22Z
5006733,NE2,207745,7,13451361,2012-10-11T08:35:45Z
5006776,wallclimber21,81024,4,2730893,2009-10-04T02:16:26Z
5012010,Luis36995,1829683,25,39226764,2016-05-10T19:43:53Z
5018647,karitotp,2748195,23,36864361,2016-01-28T20:15:46Z
5018743,TorieRob,3821658,7,40043864,2016-06-15T17:55:18Z
5039649,nammala,3479270,23,38373961,2016-04-07T08:39:56Z
6239172,calfarome,2511706,19,39225837,2016-05-10T19:07:48Z
6336473,balrog-kun,20587,2,4244079,2010-03-27T09:45:47Z
6346547,balrog-kun,20587,3,4244079,2010-03-27T09:53:41Z
6373304,n76,318696,18,30199227,2015-04-13T21:20:21Z
6387016,balrog-kun,20587,2,4244079,2010-03-27T10:11:37Z
6403720,TorieRob,3821658,31,40191036,2016-06-21T21:06:49Z
8072839,saikabhi,3029661,13,43375014,2016-11-03T10:13:36Z
8486903,wallclimber21,81024,3,2730893,2009-10-04T02:16:27Z
8923225,StellanL,28775,7,24688584,2014-08-11T21:04:15Z
8923270,StellanL,28775,10,22416417,2014-05-18T23:54:17Z
8923380,adbrown,54598,2,634543,2008-07-31T07:31:16Z
8923532,mk408,201724,4,3579584,2010-01-09T17:07:57Z
8923653,dtcomposer,35900,3,808031,2009-03-13T22:46:59Z
8923787,mk408,201724,3,6944050,2011-01-12T06:43:20Z
8923876,mk408,201724,3,6877451,2011-01-05T23:02:27Z
8923925,Skybunny,1751737,9,42272274,2016-09-19T14:54:55Z
8924010,Richard,165,2,27210068,2014-12-03T22:18:31Z
8924053,mk408,201724,3,3579584,2010-01-09T17:07:50Z
8924089,Bike Mapper,74705,5,15143049,2013-02-24T01:40:51Z
8924171,Bike Mapper,74705,7,27296652,2014-12-06T18:48:51Z
8924210,DaveHansenTiger,7168,1,110155,2007-10-12T00:45:08Z
8924270,nmixter,55774,3,14495174,2013-01-02T05:44:57Z
8924322,YongYang,1408707,7,26221395,2014-10-20T19:44:32Z
8924359,DaveHansenTiger,7168,1,110155,2007-10-12T00:46:02Z
8924401,Minh Nguyen,33757,6,32278082,2015-06-29T07:31:00Z
8924458,NE2,207745,10,13451361,2012-10-11T08:35:18Z
8924489,mk408,201724,7,6983981,2011-01-16T03:07:41Z
8924551,dannykath,2226712,15,36866473,2016-01-28T21:49:46Z
8924579,adbrown,54598,3,813477,2008-11-30T09:23:00Z
8924624,Alexander Avtanski,79401,15,13303328,2012-09-29T23:10:37Z
8924685,dannykath,2226712,15,39224707,2016-05-10T18:22:33Z
8924766,beddy,3207726,9,34813593,2015-10-23T05:01:58Z
8924803,karitotp,2748195,10,36946425,2016-02-01T21:22:36Z
8924847,Luis36995,1829683,10,36824316,2016-01-26T20:01:50Z
8924912,bdiscoe,402624,10,36186690,2015-12-27T00:05:26Z
8924956,adbrown,54598,2,775330,2008-11-21T08:19:42Z
8925009,Skybunny,1751737,15,43969223,2016-11-26T18:40:50Z
8925050,karitotp,2748195,10,36943776,2016-02-01T19:18:43Z
8925098,mk408,201724,5,6983981,2011-01-16T03:07:39Z
8925138,nmixter,55774,3,735669,2008-11-11T01:12:12Z
8925186,DaveHansenTiger,7168,1,111047,2007-10-12T00:49:58Z
8925217,Luis36995,1829683,9,36841845,2016-01-27T17:41:49Z
8925265,Minh Nguyen,33757,5,33592913,2015-08-26T10:45:33Z
8925325,StellanL,28775,13,24606186,2014-08-08T00:24:00Z
8925409,mk408,201724,7,6803970,2010-12-29T22:12:39Z
8925444,dchiles,153669,4,24143553,2014-07-14T16:00:13Z
8925484,mk408,201724,5,6944050,2011-01-12T05:23:54Z
8925522,andrewpmk,1679,5,377457,2008-05-10T00:08:07Z
8925609,isw,123995,2,3092467,2009-11-11T18:37:56Z
8925651,wallclimber21,81024,2,9690575,2011-10-30T05:54:57Z
8925691,matthieun,595221,6,33632805,2015-08-27T22:55:07Z
8925726,NE2,207745,9,13422450,2012-10-09T06:59:03Z
8925793,nmixter,55774,2,27663375,2014-12-24T02:16:06Z
8925860,Apo42,25510,7,10069783,2011-12-08T23:48:48Z
8925928,Alexander Avtanski,79401,2,1706559,2009-07-02T05:19:50Z
8925965,oba510,933797,5,22116214,2014-05-03T23:49:42Z
8926033,Bike Mapper,74705,8,6471807,2010-11-27T17:49:19Z
8926065,RichRico,2219338,9,36945809,2016-02-01T20:56:06Z
8926129,mk408,201724,3,6932318,2011-01-10T23:01:57Z
8926168,mk408,201724,5,3930070,2010-02-21T06:08:03Z
8926201,DaveHansenTiger,7168,1,111047,2007-10-12T00:55:48Z
8926251,ChrisZontine,1376118,3,18288515,2013-10-10T21:25:20Z
8926297,Minh Nguyen,33757,4,32278082,2015-06-29T07:31:01Z
8926365,StellanL,28775,3,32500664,2015-07-08T17:22:31Z
8926410,karitotp,2748195,11,39124450,2016-05-05T16:32:21Z
8926453,Luis36995,1829683,11,36841845,2016-01-27T17:41:49Z
8926495,Bike Mapper,74705,6,37487988,2016-02-27T19:46:36Z
8926555,mk408,201724,3,6983962,2011-01-16T02:57:15Z
8926611,DaveHansenTiger,7168,1,111047,2007-10-12T00:57:51Z
8926644,mk408,201724,3,6804471,2010-12-29T22:53:55Z
8926689,mk408,201724,4,3977654,2010-02-26T05:26:17Z
8926723,adbrown,54598,2,813477,2008-11-30T08:39:47Z
8926767,Telecas,202256,7,33086929,2015-08-04T03:48:07Z
8926848,n76,318696,2,29374146,2015-03-09T23:30:58Z
8926914,andrewpmk,1679,11,11890638,2012-06-14T00:16:00Z
8926963,mk408,201724,3,6983962,2011-01-16T02:57:12Z
8926984,Bike Mapper,74705,4,17721944,2013-09-07T18:24:04Z
8927037,DaveHansenTiger,7168,1,111047,2007-10-12T01:00:19Z
8927076,user8192,262921,4,28613524,2015-02-04T16:11:33Z
8927128,nmixter,55774,5,7624640,2011-03-21T07:52:49Z
8927190,Richard,165,2,27210068,2014-12-03T22:18:33Z
8927265,Luis36995,1829683,16,36859865,2016-01-28T16:08:19Z
8927321,mk408,201724,2,6803970,2010-12-29T22:13:05Z
8927368,oba510,933797,4,40606394,2016-07-09T06:41:28Z
8927423,matthieun,595221,3,15376601,2013-03-15T18:50:38Z
8927470,nmixter,55774,2,647967,2008-09-16T01:31:37Z
8927538,Bike Mapper,74705,5,6642691,2010-12-12T22:07:46Z
8927564,Hjart,207581,8,21240517,2014-03-22T09:53:27Z
8927611,wallclimber21,81024,3,173973,2008-12-06T07:36:28Z
8927641,mk408,201724,4,3579584,2010-01-09T17:07:50Z
8927688,Bike Mapper,74705,4,14209395,2012-12-09T07:56:43Z
8927721,Bike Mapper,74705,2,6457216,2010-11-25T20:06:30Z
8927759,Luis36995,1829683,8,36818338,2016-01-26T14:36:20Z
8927784,dannykath,2226712,12,36945646,2016-02-01T20:50:27Z
8927822,adbrown,54598,2,742606,2008-11-13T08:30:10Z
8927859,pbfoot06,2281061,12,27382540,2014-12-10T17:50:24Z
8927880,nidahasan,3247866,6,34352095,2015-09-30T17:41:26Z
8927913,balrog-kun,20587,4,4245371,2010-03-27T15:33:26Z
8927931,Christine_E,1707766,4,43816978,2016-11-20T08:39:52Z
8927982,OSMF Redaction Account,722137,9,12300357,2012-07-18T22:21:39Z
8928004,balrog-kun,20587,4,4245371,2010-03-27T15:33:42Z
8928019,matthieun,595221,5,33161652,2015-08-06T18:00:44Z
8928038,balrog-kun,20587,4,4245371,2010-03-27T15:33:51Z
8928060,afdreher,1110270,14,25307829,2014-09-08T13:47:55Z
8928084,balrog-kun,20587,3,4245371,2010-03-27T15:34:00Z
8928134,mk408,201724,5,6877451,2011-01-05T23:02:27Z
8928172,balrog-kun,20587,2,4245371,2010-03-27T15:34:32Z
8928206,Alexander Avtanski,79401,5,6663193,2010-12-14T22:11:32Z
8928236,StellanL,28775,5,18976315,2013-11-18T17:18:15Z
8928265,phoenix23,383461,11,21449875,2014-04-02T03:44:16Z
8928302,mk408,201724,4,7050637,2011-01-22T14:09:27Z
8928328,andrewpmk,1679,10,16332026,2013-05-29T01:04:27Z
8928352,mk408,201724,4,7051091,2011-01-22T14:48:02Z
8928374,adbrown,54598,4,7712766,2011-03-30T04:03:45Z
8928392,Alexander Avtanski,79401,5,13885950,2012-11-15T18:11:48Z
8928426,OSMF Redaction Account,722137,5,12301905,2012-07-18T23:48:52Z
8928442,nmixter,55774,4,14408332,2012-12-26T05:20:44Z
8928461,balrog-kun,20587,7,4245371,2010-03-27T15:35:39Z
8928488,Bike Mapper,74705,7,27391022,2014-12-11T05:24:15Z
8928510,balrog-kun,20587,3,4245371,2010-03-27T15:35:51Z
8928542,mk408,201724,5,6951232,2011-01-12T20:27:56Z
8928568,oba510,933797,27,41607115,2016-08-22T06:16:54Z
8928587,Bike Mapper,74705,13,27302786,2014-12-07T00:27:28Z
8928610,balrog-kun,20587,3,4245371,2010-03-27T15:36:13Z
8928638,balrog-kun,20587,5,4245371,2010-03-27T15:36:22Z
8928659,n76,318696,10,33946869,2015-09-11T02:52:17Z
8928674,balrog-kun,20587,2,4245371,2010-03-27T15:36:29Z
8928697,afdreher,1110270,14,25307829,2014-09-08T13:47:51Z
8928712,mk408,201724,6,6877451,2011-01-05T23:03:07Z
8928729,balrog-kun,20587,2,4245371,2010-03-27T15:36:43Z
8928748,balrog-kun,20587,4,4245371,2010-03-27T15:36:46Z
8928764,balrog-kun,20587,3,4245371,2010-03-27T15:36:48Z
8928776,Vlad,24247,7,21402737,2014-03-30T15:47:12Z
8928799,balrog-kun,20587,3,4245371,2010-03-27T15:36:54Z
8928820,Bike Mapper,74705,5,17966256,2013-09-22T01:13:11Z
8928853,balrog-kun,20587,4,4245371,2010-03-27T15:37:10Z
8928875,adbrown,54598,2,729116,2008-11-10T05:18:25Z
8928890,Bike Mapper,74705,5,7270687,2011-02-12T23:20:57Z
8928910,Bike Mapper,74705,6,26490231,2014-11-01T20:24:15Z
8928929,balrog-kun,20587,3,4245371,2010-03-27T15:37:24Z
8928954,Apo42,25510,7,10047327,2011-12-06T05:35:49Z
8928979,mk408,201724,8,6862908,2011-01-04T16:57:00Z
8929008,mk408,201724,7,6983962,2011-01-16T02:57:12Z
8929028,balrog-kun,20587,3,4245371,2010-03-27T15:37:44Z
8929056,doug_sfba,1796809,6,32020299,2015-06-17T02:51:18Z
8929077,balrog-kun,20587,3,4245371,2010-03-27T15:37:52Z
8929097,balrog-kun,20587,3,4245371,2010-03-27T15:37:56Z
8929116,altafrahman,2249098,11,24648199,2014-08-10T07:16:22Z
8929142,balrog-kun,20587,2,4245371,2010-03-27T15:38:04Z
8929165,balrog-kun,20587,3,4245371,2010-03-27T15:38:08Z
8929191,balrog-kun,20587,3,4245371,2010-03-27T15:38:13Z
8929214,Minh Nguyen,33757,9,33531059,2015-08-23T19:06:35Z
8929240,adbrown,54598,2,729116,2008-11-10T06:12:08Z
8929271,Minh Nguyen,33757,5,32273391,2015-06-28T22:44:22Z
8929289,Bike Mapper,74705,7,6722649,2010-12-21T07:32:18Z
8929309,StellanL,28775,3,18976315,2013-11-18T16:58:43Z
8929330,Bike Mapper,74705,4,26353851,2014-10-27T00:50:03Z
8929345,balrog-kun,20587,3,4245371,2010-03-27T15:38:41Z
8929369,42429,42429,6,8642527,2011-07-05T20:22:18Z
8929396,DaveHansenTiger,7168,1,111047,2007-10-12T01:12:06Z
8929425,Bike Mapper,74705,7,40620505,2016-07-09T22:16:29Z
8929452,balrog-kun,20587,2,4245371,2010-03-27T15:39:07Z
8929492,beddy,3207726,29,36540946,2016-01-12T23:53:20Z
8929519,Bike Mapper,74705,8,27325661,2014-12-08T03:32:48Z
8929544,beddy,3207726,13,39148316,2016-05-06T16:54:05Z
8929572,mk408,201724,5,6963977,2011-01-14T04:05:18Z
8929599,balrog-kun,20587,2,4245371,2010-03-27T15:39:32Z
8929612,eric22,160949,8,43833338,2016-11-20T21:55:47Z
8929636,balrog-kun,20587,3,4245371,2010-03-27T15:39:40Z
8929661,balrog-kun,20587,4,4245371,2010-03-27T15:39:44Z
8929678,42429,42429,9,8652400,2011-07-06T21:03:49Z
8929695,balrog-kun,20587,3,4245371,2010-03-27T15:39:51Z
8929732,adbrown,54598,2,742606,2008-11-13T08:23:31Z
8929764,mk408,201724,3,3940698,2010-02-22T03:31:57Z
8929783,doug_sfba,1796809,5,27767327,2014-12-29T01:20:36Z
8929811,dannykath,2226712,6,33299011,2015-08-12T19:47:21Z
8929858,oba510,933797,4,18003053,2013-09-24T05:52:47Z
8929883,balrog-kun,20587,3,4245371,2010-03-27T15:40:21Z
8929914,matthieun,595221,4,26131459,2014-10-16T21:43:52Z
8929939,Bike Mapper,74705,4,27296652,2014-12-06T18:48:50Z
8929964,KindredCoda,14293,16,8662772,2011-07-08T03:56:11Z
8929997,balrog-kun,20587,5,4245371,2010-03-27T15:40:41Z
8930022,42429,42429,6,8084921,2011-05-08T17:11:02Z
8930045,balrog-kun,20587,4,4245371,2010-03-27T15:40:49Z
8930079,Bike Mapper,74705,12,14887106,2013-02-02T18:44:58Z
8930110,mk408,201724,5,6933603,2011-01-11T06:09:00Z
8930146,Apo42,25510,6,10069783,2011-12-08T23:48:31Z
8930185,n76,318696,9,30339327,2015-04-19T19:16:58Z
8930227,Bike Mapper,74705,15,15308618,2013-03-09T22:35:10Z
8930266,OSMF Redaction Account,722137,6,12301978,2012-07-18T23:55:57Z
8930311,Bike Mapper,74705,5,30479993,2015-04-25T17:41:36Z
8930339,VMukhtarov,1403907,8,24334610,2014-07-24T17:34:48Z
8930362,mk408,201724,4,3930619,2010-02-21T08:25:23Z
8930401,Bike Mapper,74705,8,27619636,2014-12-21T22:25:32Z
8930436,balrog-kun,20587,2,4245371,2010-03-27T15:41:49Z
8930475,ruthmaben,2554698,9,30427208,2015-04-23T11:48:26Z
8930520,bill42,482916,4,15978925,2013-05-05T02:23:50Z
8930550,StellanL,28775,12,28196530,2015-01-16T21:45:34Z
8930583,balrog-kun,20587,3,4245371,2010-03-27T15:42:14Z
8930622,Christine_E,1707766,4,43436870,2016-11-06T09:12:10Z
8930645,abel801,2377377,11,31725196,2015-06-04T17:13:57Z
8930673,mk408,201724,3,6843274,2011-01-02T20:43:22Z
8930710,balrog-kun,20587,3,4245371,2010-03-27T15:42:31Z
8930746,balrog-kun,20587,3,4245371,2010-03-27T15:42:36Z
8930787,mk408,201724,4,6804893,2010-12-29T23:56:43Z
8930889,Schusch,24920,4,12642057,2012-08-07T07:37:00Z
8930928,Minh Nguyen,33757,5,43977025,2016-11-27T05:28:40Z
8930967,Alexander Avtanski,79401,5,6404001,2010-11-18T23:30:14Z
8931031,StellanL,28775,6,32489086,2015-07-08T07:53:29Z
8931059,Bike Mapper,74705,4,39028386,2016-05-02T01:56:35Z
8931109,balrog-kun,20587,3,4245371,2010-03-27T15:43:23Z
8931146,karitotp,2748195,4,32310274,2015-06-30T14:47:21Z
8931192,balrog-kun,20587,2,4245371,2010-03-27T15:43:35Z
8931226,balrog-kun,20587,3,4245371,2010-03-27T15:43:54Z
8931253,balrog-kun,20587,4,4245371,2010-03-27T15:44:00Z
8931291,StellanL,28775,13,18984508,2013-11-18T22:23:56Z
8931319,StellanL,28775,9,11245593,2012-04-09T22:14:46Z
8931349,balrog-kun,20587,4,4245371,2010-03-27T15:44:15Z
8931364,mk408,201724,3,4127287,2010-03-14T17:35:51Z
8931380,balrog-kun,20587,4,4245371,2010-03-27T15:44:21Z
8931399,balrog-kun,20587,6,4245371,2010-03-27T15:44:24Z
8931424,Bike Mapper,74705,6,16662342,2013-06-22T22:11:16Z
8931446,adbrown,54598,2,625372,2008-07-30T08:49:16Z
8931474,ChrisZontine,1376118,8,18285959,2013-10-10T18:37:59Z
8931496,nmixter,55774,6,14408332,2012-12-26T05:20:43Z
8931510,oba510,933797,5,41747724,2016-08-28T04:14:35Z
8931531,TorieRob,3821658,22,39721144,2016-06-01T21:53:05Z
8931565,nmixter,55774,7,717611,2009-03-01T05:50:28Z
8931605,Bike Mapper,74705,3,40785849,2016-07-16T19:15:21Z
8931635,mk408,201724,4,7050637,2011-01-22T14:09:48Z
8931661,Bike Mapper,74705,7,15066309,2013-02-17T17:45:11Z
8931711,pbfoot06,2281061,5,35710033,2015-12-02T16:45:45Z
8931739,SteveC,682,2,408376,2008-07-06T05:08:54Z
8931768,balrog-kun,20587,4,4245371,2010-03-27T15:45:46Z
8931795,adbrown,54598,2,620514,2008-07-29T16:45:36Z
8931809,balrog-kun,20587,2,4245371,2010-03-27T15:45:57Z
8931821,n76,318696,10,33946869,2015-09-11T02:52:18Z
8931846,balrog-kun,20587,2,4245371,2010-03-27T15:46:05Z
8931870,balrog-kun,20587,3,4245371,2010-03-27T15:46:11Z
8931899,mk408,201724,4,7099154,2011-01-26T23:13:09Z
