id,key,value,type
4336096,name,Calveras Boulevard,regular
4336096,oneway,yes,regular
4336096,bicycle,yes,regular
4336096,highway,secondary,regular
4336096,right,lane,cycleway
4733804,area,yes,regular
4733804,sport,basketball,regular
4733804,leisure,pitch,regular
4964746,ref,G2,regular
4964746,name,Lawrence Expressway,regular
4964746,lanes,3,regular
4964746,oneway,yes,regular
4964746,highway,trunk,regular
4964746,maxspeed,50 mph,regular
4964746,right,lane,cycleway
4964746,maxspeed,sign,source
5005414,name,West Moffett Park Drive,regular
5005414,highway,secondary,regular
5005414,maxspeed,40 mph,regular
5005414,maxspeed,sign,source
5005414,lanes:backward,left|through,turn
5005414,direction,backward,traffic_signals
5006733,oneway,yes,regular
5006733,bicycle,no,regular
5006733,highway,motorway_link,regular
5006776,foot,yes,regular
5006776,highway,footway,regular
5012010,name,North Mathilda Avenue,regular
5012010,lanes,4,regular
5012010,oneway,yes,regular
5012010,highway,primary,regular
5012010,old_ref,SR 9,regular
5012010,maxspeed,45 mph,regular
5012010,zip_left,94086,tiger
5012010,zip_right,94086,tiger
5018647,hgv,designated,regular
5018647,ref,CA 237,regular
5018647,name,Mountain View - Alviso Road,regular
5018647,lanes,2,regular
5018647,oneway,yes,regular
5018647,bicycle,no,regular
5018647,highway,motorway,regular
5018647,maxspeed,55 mph,regular
5018647,maxspeed,sign,source
5018647,national_network,terminal_access,hgv
5018647,hgv:national_network,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,source
5018743,name,Wolfe Road,regular
5018743,lanes,2,regular
5018743,layer,1,regular
5018743,bridge,yes,regular
5018743,oneway,yes,regular
5018743,highway,primary,regular
5018743,right,lane,cycleway
5039649,lanes,1,regular
5039649,oneway,yes,regular
5039649,bicycle,no,regular
5039649,highway,primary_link,regular
6239172,name,East Hamilton Avenue,regular
6239172,oneway,yes,regular
6239172,highway,primary,regular
6239172,maxspeed,35 mph,regular
6336473,name,Yampa Court,regular
6336473,highway,residential,regular
6336473,cfcc,A41,tiger
6336473,tlid,124990447,tiger
6336473,county,"Alameda, CA",tiger
6336473,source,tiger_import_dch_v0.6_20070809,tiger
6336473,reviewed,no,tiger
6336473,zip_left,94539,tiger
6336473,name_base,Yampa,tiger
6336473,name_type,Ct,tiger
6336473,separated,no,tiger
6336473,zip_right,94539,tiger
6346547,name,Gamay Court,regular
6346547,highway,residential,regular
6346547,created_by,Potlatch 0.10f,regular
6346547,cfcc,A41,tiger
6346547,tlid,124990428,tiger
6346547,county,"Alameda, CA",tiger
6346547,source,tiger_import_dch_v0.6_20070809,tiger
6346547,reviewed,no,tiger
6346547,zip_left,94539,tiger
6346547,name_base,Gamay,tiger
6346547,name_type,Ct,tiger
6346547,separated,no,tiger
6346547,zip_right,94539,tiger
6373304,name,Dixon Landing Road,regular
6373304,lanes,4,regular
6373304,oneway,yes,regular
6373304,highway,secondary,regular
6373304,surface,asphalt,regular
6373304,cfcc,A41,tiger
6373304,lanes,none|none|right|right,turn
6373304,county,"Alameda, CA:Santa Clara, CA",tiger
6373304,zip_left,94538:95035,tiger
6373304,name_base,Dixon Landing,tiger
6373304,name_type,Rd,tiger
6373304,zip_right,94538:95035,tiger
6387016,name,Tonalea Street,regular
6387016,highway,residential,regular
6387016,cfcc,A41,tiger
6387016,tlid,124990445,tiger
6387016,county,"Alameda, CA",tiger
6387016,source,tiger_import_dch_v0.6_20070809,tiger
6387016,reviewed,no,tiger
6387016,zip_left,94539,tiger
6387016,name_base,Tonalea,tiger
6387016,name_type,St,tiger
6387016,separated,no,tiger
6387016,zip_right,94539,tiger
6403720,name,Milmont St;Milmont Drive,regular
6403720,layer,1,regular
6403720,bridge,yes,regular
6403720,name_1,Milmont Drive,regular
6403720,oneway,yes,regular
6403720,highway,residential,regular
6403720,cfcc,A41,tiger
6403720,county,"Alameda, CA;Santa Clara, CA",tiger
6403720,reviewed,no,tiger
6403720,zip_left,94538;95035,tiger
6403720,name_base,Milmont,tiger
6403720,name_type,St;Dr,tiger
6403720,zip_right,94538;95035,tiger
6403720,name_base_1,Milmont,tiger
6403720,name_type_1,Dr,tiger
8072839,HFCS,Collector,regular
8072839,highway,tertiary,regular
8072839,name,Mission College Boulevard,regular
8072839,oneway,yes,regular
8486903,foot,yes,regular
8486903,highway,footway,regular
8923225,name,Cape Buffalo Drive,regular
8923225,highway,residential,regular
8923225,cfcc,A41,tiger
8923225,county,"Santa Clara, CA",tiger
8923225,reviewed,no,tiger
8923225,zip_left,95133,tiger
8923225,name_base,Cape Buffalo,tiger
8923225,name_type,Dr,tiger
8923225,zip_right,95133,tiger
8923270,name,Oyama Drive,regular
8923270,highway,tertiary,regular
8923270,county,"Santa Clara, CA",tiger
8923270,zip_left,95131,tiger
8923270,name_base,Oyama,tiger
8923270,name_type,Dr,tiger
8923270,zip_right,95131,tiger
8923270,zip_left_1,95131,tiger
8923380,highway,residential,regular
8923380,created_by,Potlatch 0.10a,regular
8923380,cfcc,A41,tiger
8923380,tlid,122963179,tiger
8923380,county,"Santa Clara, CA",tiger
8923380,source,tiger_import_dch_v0.6_20070809,tiger
8923380,reviewed,no,tiger
8923380,separated,no,tiger
8923380,upload_uuid,bulk_upload.pl-9f300d22-5de3-4867-bd5e-8c2a200c22ad,tiger
8923532,highway,service,regular
8923532,cfcc,A41,tiger
8923532,tlid,122899019,tiger
8923532,county,"Santa Clara, CA",tiger
8923532,source,tiger_import_dch_v0.6_20070809,tiger
8923532,separated,no,tiger
8923532,upload_uuid,bulk_upload.pl-9f300d22-5de3-4867-bd5e-8c2a200c22ad,tiger
8923653,highway,residential,regular
8923653,created_by,Potlatch 0.10f,regular
8923653,cfcc,A41,tiger
8923653,tlid,122945441,tiger
8923653,county,"Santa Clara, CA",tiger
8923653,source,tiger_import_dch_v0.6_20070809,tiger
8923653,reviewed,no,tiger
8923653,separated,no,tiger
8923653,upload_uuid,bulk_upload.pl-9f300d22-5de3-4867-bd5e-8c2a200c22ad,tiger
